epoch ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0    ,lr/pg1    ,lr/pg2
    1 ,        2.7456 ,        3.2508 ,        2.7771 ,             0.40996 ,          0.25953 ,         0.25303 ,            0.10764 ,      2.1603 ,     2.2433  ,      2.1611 ,0.070004  ,0.0033329 ,0.0033329
    2 ,        2.0417 ,        2.353  ,        2.0873 ,             0.57619 ,          0.39111 ,         0.43524 ,            0.22175 ,      1.7725 ,     1.7631  ,      1.7954 ,0.039993  ,0.0066552 ,0.0066552
    3 ,        1.8994 ,        2.1014 ,        1.9368 ,             0.63646 ,          0.44038 ,         0.50764 ,            0.2772  ,      1.631  ,     1.5556  ,      1.6558 ,0.0099711 ,0.0099666 ,0.0099666
    4 ,        1.8175 ,        1.9519 ,        1.8459 ,             0.66773 ,          0.47963 ,         0.55092 ,            0.31044 ,      1.5703 ,     1.4418  ,      1.5865 ,0.0099505 ,0.0099505 ,0.0099505
    5 ,        1.7519 ,        1.8278 ,        1.782  ,             0.69328 ,          0.50005 ,         0.57477 ,            0.33272 ,      1.5198 ,     1.364   ,      1.5458 ,0.009934  ,0.009934  ,0.009934
    6 ,        1.7163 ,        1.7586 ,        1.7421 ,             0.70479 ,          0.50877 ,         0.58822 ,            0.34619 ,      1.4821 ,     1.3159  ,      1.5142 ,0.0099175 ,0.0099175 ,0.0099175
    7 ,        1.6871 ,        1.7078 ,        1.7108 ,             0.70841 ,          0.52029 ,         0.5981  ,            0.35559 ,      1.4618 ,     1.2915  ,      1.4963 ,0.009901  ,0.009901  ,0.009901
    8 ,        1.6681 ,        1.6704 ,        1.6868 ,             0.71507 ,          0.52529 ,         0.60393 ,            0.36041 ,      1.4473 ,     1.2742  ,      1.483  ,0.0098845 ,0.0098845 ,0.0098845
    9 ,        1.6551 ,        1.6462 ,        1.669  ,             0.71784 ,          0.52686 ,         0.60768 ,            0.36464 ,      1.4365 ,     1.2624  ,      1.473  ,0.009868  ,0.009868  ,0.009868
   10 ,        1.6327 ,        1.6223 ,        1.6477 ,             0.71817 ,          0.53002 ,         0.61132 ,            0.37007 ,      1.4223 ,     1.2518  ,      1.4618 ,0.0098515 ,0.0098515 ,0.0098515
   11 ,        1.6144 ,        1.602  ,        1.6249 ,             0.71947 ,          0.52973 ,         0.61366 ,            0.37427 ,      1.4094 ,     1.2417  ,      1.45   ,0.009835  ,0.009835  ,0.009835
   12 ,        1.5988 ,        1.5814 ,        1.6119 ,             0.72512 ,          0.5324  ,         0.6172  ,            0.3783  ,      1.3966 ,     1.2316  ,      1.4384 ,0.0098185 ,0.0098185 ,0.0098185
   13 ,        1.5808 ,        1.5661 ,        1.5923 ,             0.72616 ,          0.53596 ,         0.62047 ,            0.38265 ,      1.3822 ,     1.2226  ,      1.4258 ,0.009802  ,0.009802  ,0.009802
   14 ,        1.5717 ,        1.5515 ,        1.5805 ,             0.72779 ,          0.53763 ,         0.6238  ,            0.38734 ,      1.3685 ,     1.2119  ,      1.4144 ,0.0097855 ,0.0097855 ,0.0097855
   15 ,        1.5612 ,        1.5399 ,        1.5689 ,             0.73228 ,          0.53911 ,         0.62718 ,            0.39193 ,      1.3553 ,     1.1989  ,      1.403  ,0.009769  ,0.009769  ,0.009769
   16 ,        1.5517 ,        1.5299 ,        1.5635 ,             0.74032 ,          0.53976 ,         0.63101 ,            0.39546 ,      1.342  ,     1.1881  ,      1.3916 ,0.0097525 ,0.0097525 ,0.0097525
   17 ,        1.5489 ,        1.523  ,        1.554  ,             0.73995 ,          0.54561 ,         0.6349  ,            0.3997  ,      1.3298 ,     1.1773  ,      1.3804 ,0.009736  ,0.009736  ,0.009736
   18 ,        1.5399 ,        1.5149 ,        1.5453 ,             0.74318 ,          0.54691 ,         0.63825 ,            0.4032  ,      1.3157 ,     1.1667  ,      1.3688 ,0.0097195 ,0.0097195 ,0.0097195
   19 ,        1.5326 ,        1.5082 ,        1.5355 ,             0.74486 ,          0.54876 ,         0.64205 ,            0.4075  ,      1.3039 ,     1.1567  ,      1.3583 ,0.009703  ,0.009703  ,0.009703
   20 ,        1.5234 ,        1.4996 ,        1.5271 ,             0.74994 ,          0.55145 ,         0.64601 ,            0.41111 ,      1.2939 ,     1.1453  ,      1.3492 ,0.0096865 ,0.0096865 ,0.0096865
   21 ,        1.5125 ,        1.4926 ,        1.5198 ,             0.75314 ,          0.55498 ,         0.64976 ,            0.4147  ,      1.2831 ,     1.1343  ,      1.3392 ,0.00967   ,0.00967   ,0.00967
   22 ,        1.5084 ,        1.4884 ,        1.5137 ,             0.75328 ,          0.55795 ,         0.65303 ,            0.41812 ,      1.2739 ,     1.1248  ,      1.3308 ,0.0096535 ,0.0096535 ,0.0096535
   23 ,        1.5052 ,        1.4851 ,        1.5101 ,             0.75427 ,          0.56017 ,         0.65561 ,            0.42107 ,      1.2656 ,     1.1153  ,      1.3227 ,0.009637  ,0.009637  ,0.009637
   24 ,        1.4963 ,        1.4764 ,        1.5022 ,             0.75553 ,          0.56408 ,         0.65854 ,            0.42376 ,      1.2575 ,     1.1046  ,      1.3159 ,0.0096205 ,0.0096205 ,0.0096205
   25 ,        1.4942 ,        1.473  ,        1.4957 ,             0.75663 ,          0.56519 ,         0.6614  ,            0.42626 ,      1.2496 ,     1.0943  ,      1.3083 ,0.009604  ,0.009604  ,0.009604
   26 ,        1.4863 ,        1.4624 ,        1.4914 ,             0.75996 ,          0.5667  ,         0.66399 ,            0.42877 ,      1.2428 ,     1.0851  ,      1.3017 ,0.0095875 ,0.0095875 ,0.0095875
   27 ,        1.4845 ,        1.4647 ,        1.4861 ,             0.76133 ,          0.56853 ,         0.66582 ,            0.43109 ,      1.2379 ,     1.0784  ,      1.2959 ,0.009571  ,0.009571  ,0.009571
   28 ,        1.4792 ,        1.4564 ,        1.4894 ,             0.76106 ,          0.56924 ,         0.66665 ,            0.43308 ,      1.2329 ,     1.0716  ,      1.2914 ,0.0095545 ,0.0095545 ,0.0095545
   29 ,        1.4774 ,        1.4567 ,        1.4793 ,             0.7628  ,          0.57112 ,         0.66987 ,            0.43504 ,      1.2281 ,     1.066   ,      1.2863 ,0.009538  ,0.009538  ,0.009538
   30 ,        1.4767 ,        1.4552 ,        1.477  ,             0.76511 ,          0.57085 ,         0.67099 ,            0.4366  ,      1.2237 ,     1.0598  ,      1.2817 ,0.0095215 ,0.0095215 ,0.0095215
   31 ,        1.4727 ,        1.453  ,        1.473  ,             0.76534 ,          0.57233 ,         0.67218 ,            0.43834 ,      1.22   ,     1.0545  ,      1.2771 ,0.009505  ,0.009505  ,0.009505
   32 ,        1.4718 ,        1.4475 ,        1.4685 ,             0.76381 ,          0.57374 ,         0.67369 ,            0.43969 ,      1.2151 ,     1.0488  ,      1.2719 ,0.0094885 ,0.0094885 ,0.0094885
   33 ,        1.4683 ,        1.4471 ,        1.4645 ,             0.76611 ,          0.57465 ,         0.67608 ,            0.44104 ,      1.2109 ,     1.0432  ,      1.267  ,0.009472  ,0.009472  ,0.009472
   34 ,        1.4661 ,        1.4422 ,        1.4627 ,             0.76516 ,          0.57641 ,         0.67761 ,            0.44253 ,      1.208  ,     1.0393  ,      1.2631 ,0.0094555 ,0.0094555 ,0.0094555
   35 ,        1.4652 ,        1.4396 ,        1.4596 ,             0.76206 ,          0.57979 ,         0.6794  ,            0.44393 ,      1.2055 ,     1.034   ,      1.2593 ,0.009439  ,0.009439  ,0.009439
   36 ,        1.4623 ,        1.4405 ,        1.4558 ,             0.76002 ,          0.58303 ,         0.68133 ,            0.44556 ,      1.2034 ,     1.0271  ,      1.2565 ,0.0094225 ,0.0094225 ,0.0094225
   37 ,        1.459  ,        1.4369 ,        1.4537 ,             0.76887 ,          0.57966 ,         0.68222 ,            0.44653 ,      1.2009 ,     1.0239  ,      1.2532 ,0.009406  ,0.009406  ,0.009406
   38 ,        1.456  ,        1.4329 ,        1.4482 ,             0.76484 ,          0.58625 ,         0.68351 ,            0.44807 ,      1.198  ,     1.0197  ,      1.2496 ,0.0093895 ,0.0093895 ,0.0093895
   39 ,        1.4602 ,        1.4316 ,        1.448  ,             0.7651  ,          0.58504 ,         0.68551 ,            0.44895 ,      1.1959 ,     1.0156  ,      1.2467 ,0.009373  ,0.009373  ,0.009373
   40 ,        1.4561 ,        1.4279 ,        1.4458 ,             0.76333 ,          0.58718 ,         0.68654 ,            0.45053 ,      1.1936 ,     1.0117  ,      1.2441 ,0.0093565 ,0.0093565 ,0.0093565
   41 ,        1.4503 ,        1.4242 ,        1.4412 ,             0.76153 ,          0.58931 ,         0.68683 ,            0.4513  ,      1.1915 ,     1.0072  ,      1.2417 ,0.00934   ,0.00934   ,0.00934
   42 ,        1.4523 ,        1.4259 ,        1.4409 ,             0.76558 ,          0.59061 ,         0.68759 ,            0.452   ,      1.1892 ,     1.0036  ,      1.239  ,0.0093235 ,0.0093235 ,0.0093235
   43 ,        1.4469 ,        1.4197 ,        1.4365 ,             0.7626  ,          0.59256 ,         0.68907 ,            0.45322 ,      1.1875 ,     0.99998 ,      1.2366 ,0.009307  ,0.009307  ,0.009307
   44 ,        1.4452 ,        1.4164 ,        1.4333 ,             0.76639 ,          0.59219 ,         0.68922 ,            0.45403 ,      1.1854 ,     0.99835 ,      1.2344 ,0.0092905 ,0.0092905 ,0.0092905
